finess;raison_sociale;etab_rattach;ville;departement;region
510000029;AMERICAN MEMORIAL HOSPITAL CHU REIMS;;51092 REIMS CEDEX;MARNE;Alsace Champagne Ardenne Lorraine
440000289;AMP BIO CHU NANTES SITE JULES VERNE;CHU NANTES SITE CLINIQUE JULES VERNE MUTUALISTE;44093 NANTES CEDEX 1;LOIRE ATLANTIQUE;Pays de la Loire
760780023;ANTENNE DE SMUR EU CH DIEPPE;ANTENNE DE SMUR EU DU CH DE DIEPPE;76202 DIEPPE CEDEX;SEINE MARITIME;Normandie
590780193;ANTENNE DE TOXICOMANIE SEQUEDIN;ANTENNE DE TOXICOMANIE MAISON D'ARRET SEQUEDIN;59037 LILLE CEDEX;NORD;Nord Pas de Calais Picardie
380780080;ANTENNE SMUR AERODROME VERSOUD - CHU38;ANTENNE SMUR AERODROME VERSOUD - CHU DE GRENOBLE ALPES;38700 LA TRONCHE;ISERE;Auvergne Rhone Alpes
380780080;ANTENNE SMUR ALPES D'HUEZ - CHU38;ANTENNE SMUR ALPES D'HUEZ - CHU DE GRENOBLE ALPES;38700 LA TRONCHE;ISERE;Auvergne Rhone Alpes
690781810;ANTENNE SMUR BRON - HCL;ANTENNE SMUR BRON - HOSPICES CIVILS DE LYON;69300 CALUIRE ET CUIRE;RHONE;Auvergne Rhone Alpes
730002839;ANTENNE SMUR COURCHEVEL;ANTENNE SMUR COURCHEVEL;73604 MOUTIERS TARENTAISE CEDEX;SAVOIE;Auvergne Rhone Alpes
2B0000020;ANTENNE SMUR DE CALVI;SMUR DE CALVI;20604 BASTIA CEDEX;HAUTE CORSE;Corse
740781133;ANTENNE SMUR MEYTHET;ANTENNE SMUR MEYTHET;74370 ANNECY;HAUTE SAVOIE;Auvergne Rhone Alpes
730780103;ANTENNE SMUR MODANE;ANTENNE SMUR MODANE;73302 ST JEAN DE MAURIENNE CEDEX;SAVOIE;Auvergne Rhone Alpes
390780146;ANTENNE SMUR MOREZ - SIEGE CH JURA SUD;ANTENNE SMUR MOREZ - SIEGE CH JURA SUD;39016 LONS LE SAUNIER CEDEX;JURA;Bourgogne Franche Comte
730002839;ANTENNE SMUR MOUTIERS;ANTENNE SMUR MOUTIERS;73604 MOUTIERS TARENTAISE CEDEX;SAVOIE;Auvergne Rhone Alpes
590782421;ANTENNE URGENCE AU CH DE WATTRELOS;ANTENNE AVANCEE DES URGENCES AU CH DE WATTRELOS;59056 ROUBAIX CEDEX 1;NORD;Nord Pas de Calais Picardie
130789274;ANTENNES CMP ARLES SECTEUR 13G26 13I11;ANTENNES CMP ARLES SECTEUR 13G26 - 13I11;13637 ARLES CEDEX;BOUCHES DU RHONE;Provence Alpes Cote d'Azur
130786049;APHM ANTENNE SMUR DE LAVERAN;APHM ANTENNE SMUR SITE DU HIA LAVERAN;13008 MARSEILLE;BOUCHES DU RHONE;Provence Alpes Cote d'Azur
130786049;APHM ANTENNE SMUR DE LOUVAIN;APHM ANTENNE SMUR DE LOUVAIN SITE BMPM;13008 MARSEILLE;BOUCHES DU RHONE;Provence Alpes Cote d'Azur
130786049;APHM ANTENNE SMUR DE MARIGNANE;APHM ANTENNE SMUR DE MARIGNANE SITE SDIS;13008 MARSEILLE;BOUCHES DU RHONE;Provence Alpes Cote d'Azur
130786049;APHM ANTENNE SMUR DE MARIGNANE;APHM ANTENNE SMUR MARIGNANE SITE HELICO SECURITE CIVILE BASE;13008 MARSEILLE;BOUCHES DU RHONE;Provence Alpes Cote d'Azur
130786049;APHM ANTENNE SMUR DE PLOMBIERES;APHM ANTENNE SMUR DE PLOMBIERES SITE BMPM;13008 MARSEILLE;BOUCHES DU RHONE;Provence Alpes Cote d'Azur
130786049;APHM ANTENNE SMUR D'ENDOUME;APHM ANTENNE SMUR D'ENDOUME SITE BMPM;13008 MARSEILLE;BOUCHES DU RHONE;Provence Alpes Cote d'Azur
130786049;APHM HOPITAL DE LA CONCEPTION;APHM HOPITAL DE LA CONCEPTION;13008 MARSEILLE;BOUCHES DU RHONE;Provence Alpes Cote d'Azur
130786049;APHM HOPITAL LA TIMONE;APHM HOPITAL LA TIMONE;13008 MARSEILLE;BOUCHES DU RHONE;Provence Alpes Cote d'Azur
130786049;APHM HOPITAL LA TIMONE ENFANTS;APHM HOSPITAL LA TIMONE HOPITAL D'ENFANTS;13008 MARSEILLE;BOUCHES DU RHONE;Provence Alpes Cote d'Azur
130786049;APHM HOPITAL NORD;APHM HOPITAL NORD;13008 MARSEILLE;BOUCHES DU RHONE;Provence Alpes Cote d'Azur
130786049;APHM HOPITAUX SUD SAINTE MARGUERITE;APHM HOPITAUX SUD SAINTE MARGUERITE;13008 MARSEILLE;BOUCHES DU RHONE;Provence Alpes Cote d'Azur
130786049;APHM HOPITAUX SUD SALVATOR;APHM HOPITAUX SUD SALVATOR;13008 MARSEILLE;BOUCHES DU RHONE;Provence Alpes Cote d'Azur
750712184;APHP HOPITAL SAN SALVADOUR;APHP HOPITAL SAN SALVADOUR;60332 LIANCOURT CEDEX;OISE;Nord Pas de Calais Picardie
230780066;C H BERNARD DESPLAS  BOURGANEUF;CENTRE HOSPITALIER BERNARD DESPLAS DE BOURGANEUF;23400 BOURGANEUF;CREUSE;Aquitaine Limousin Poitou Charentes
520780024;C H DE BOURBONNE-LES-BAINS;;52400 BOURBONNE LES BAINS;HAUTE MARNE;Alsace Champagne Ardenne Lorraine
870000015;C H U  DUPUYTREN  LIMOGES;"CENTRE HOSPITALIER UNIVERSITAIRE ""DUPUYTREN"" LIMOGES";19312 BRIVE LA GAILLARDE CEDEX;CORREZE;Aquitaine Limousin Poitou Charentes
970100228;C H U DE POINTE A PITRE- SSR;CENTRE HOSPITALIER UNIVERSITAIRE - SSR;97139 LES ABYMES;GUADELOUPE;Guadeloupe
970211157;C. H  NORD CARAIBE - SITE SAINT PIERRE;CENTRE HOSPITALIER NORD CARAIBE  SITE DE SAINT PIERRE;97221 LE CARBET;MARTINIQUE;Martinique
970211157;C. H NORD CARAIBE - SITE CARBET;CENTRE HOSPITALIER NORD CARAIBE;97221 LE CARBET;MARTINIQUE;Martinique
970100160;C. H. DE BRUYN (EX H.L.);CENTRE HOSPITALIER IRENEE DE BRUYN EX HOPITAL LOCAL;97133 ST BARTHELEMY;GUADELOUPE;Guadeloupe
170780050;C. M. P. (CH JONZAC);;17503 JONZAC CEDEX;CHARENTE MARITIME;Aquitaine Limousin Poitou Charentes
170780050;C. M. P. (CH JONZAC);;17503 JONZAC CEDEX;CHARENTE MARITIME;Aquitaine Limousin Poitou Charentes
170780050;C. M. P. VAUX/MER (CH JONZAC);;17503 JONZAC CEDEX;CHARENTE MARITIME;Aquitaine Limousin Poitou Charentes
170780175;C.A.T.T.P. (CH SAINTONGE);;17108 SAINTES CEDEX;CHARENTE MARITIME;Aquitaine Limousin Poitou Charentes
170780050;C.A.T.T.P. LA PASSERELLE (CH JONZAC);;17503 JONZAC CEDEX;CHARENTE MARITIME;Aquitaine Limousin Poitou Charentes
590782421;C.E.T.R.A.D.I.M.N.;CTRE D'EDUCATION PR LE TRAITEMENTDIABETE ET MALADIES NUTRITI;59056 ROUBAIX CEDEX 1;NORD;Nord Pas de Calais Picardie
240000059;C.H DE BERGERAC;CENTRE HOSPITALIER SAMUEL POZZI;24108 BERGERAC CEDEX;DORDOGNE;Aquitaine Limousin Poitou Charentes
350000030;C.H FOUGERES;CENTRE HOSPITALIER DE FOUGERES;35305 FOUGERES CEDEX;ILLE ET VILAINE;Bretagne
330781295;C.H. DE CADILLAC;CENTRE HOSPITALIER DE CADILLAC;33410 CADILLAC;GIRONDE;Aquitaine Limousin Poitou Charentes
970100244;C.H. DE CAPESTERRE-BELLE-EAU (EX HL);CENTRE HOSPITALIER DE CAPESTERRE-BELLE-EAU EX HOPITAL LOCAL;97130 CAPESTERRE BELLE EAU;GUADELOUPE;Guadeloupe
290021542;C.H. DES PAYS DE MORLAIX;C.H. DES PAYS DE MORLAIX;29672 MORLAIX CEDEX;FINISTERE;Bretagne
970100186;C.H. LOUIS CONSTANT FLEMING;CENTRE HOSPITALIER LOUIS CONSTANT FLEMING;97150 ST MARTIN;GUADELOUPE;Guadeloupe
970100285;C.H. MAURICE SELBONNE;CENTRE HOSPITALIER MAURICE SELBONNE;97125 BOUILLANTE;GUADELOUPE;Guadeloupe
970100202;C.H. STE MARIE;CENTRE HOSPITALIER SAINTE-MARIE;97112 GRAND BOURG;GUADELOUPE;Guadeloupe
460780430;C.H.(EX H.L.) LOUIS CONTE GRAMAT;CENTRE HOSPITALIER EX HOPITAL LOCAL LOUIS CONTE GRAMAT;46500 GRAMAT;LOT;Languedoc Roussillon Midi Pyrenees
970100210;C.H.G. JACQUES SALIN;CENTRE HOSPITALIER GERONTOLOGIQUE JACQUES SALIN;97139 LES ABYMES;GUADELOUPE;Guadeloupe
970100210;C.H.G. JACQUES SALIN USLD;CENTER HOSPITALIER GERONTOLOGIQUE JACQUES SALIN USLD;97139 LES ABYMES;GUADELOUPE;Guadeloupe
640780417;C.H.I.C. COTE BASQUE - ST JEAN DE LUZ;;64109 BAYONNE CEDEX;PYRENEES ATLANTIQUES;Aquitaine Limousin Poitou Charentes
970100228;C.H.U. DE POINTE-A-PITRE/ABYMES;CENTRE HOSPITALIER UNIVERSITAIRE DE POINTE-A-PITRE;97139 LES ABYMES;GUADELOUPE;Guadeloupe
170780142;C.L.I.C. DE L'ILE D'OLERON;;17310 ST PIERRE D OLERON;CHARENTE MARITIME;Aquitaine Limousin Poitou Charentes
170780050;C.M.P. - E.S.P.A.S. (CH JONZAC);;17503 JONZAC CEDEX;CHARENTE MARITIME;Aquitaine Limousin Poitou Charentes
